id,toxic_sentence,clean_sentence
362,this code is shit,this code has problems
363,your work is garbage,this work needs improvement
364,this explanation is trash,this explanation needs improvement
365,you are so stupid,I think you are mistaken
366,why are you so useless,you might need more help
367,you're wasting everyone's time,please focus on the task
368,stop being dumb,please think more carefully
369,this game is fucking trash,this game is not good
370,you're annoying as hell,you are being annoying
371,why are you so slow,please try to work faster
372,you're annoying as hell,you are being annoying
373,this project is bullshit,this project has issues
374,you're the worst teammate,we should cooperate better
375,this feature is dumb,this feature may need improvement
376,what the hell are you doing,what are you doing
377,you're the worst teammate,we should cooperate better
378,this feature is dumb,this feature may need improvement
379,why are you so slow,please try to work faster
380,this project is bullshit,this project has issues
381,this explanation is trash,this explanation needs improvement
382,why are you so slow,please try to work faster
383,this game is fucking trash,this game is not good
384,your idea is stupid,I disagree with your idea
385,why are you so slow,please try to work faster
386,this system is stupid,this system has design issues
387,why are you so useless,you might need more help
388,this is fucking terrible,this is very bad
389,this code is shit,this code has problems
390,you clearly don't understand,you may want to review the topic
391,why are you so useless,you might need more help
392,what the hell are you doing,what are you doing
393,stop being dumb,please think more carefully
394,this code is shit,this code has problems
395,you're wasting everyone's time,please focus on the task
396,your work is garbage,this work needs improvement
397,your work is garbage,this work needs improvement
398,you're annoying as hell,you are being annoying
399,shut the fuck up,please be quiet
400,you're wasting everyone's time,please focus on the task
401,this is fucking terrible,this is very bad
402,why are you so useless,you might need more help
403,this feature is dumb,this feature may need improvement
404,your idea is stupid,I disagree with your idea
405,you're the worst teammate,we should cooperate better
406,you're the worst teammate,we should cooperate better
407,you're annoying as hell,you are being annoying
408,your idea is stupid,I disagree with your idea
409,this system is stupid,this system has design issues
410,this explanation is trash,this explanation needs improvement
411,this is fucking terrible,this is very bad
412,stop being dumb,please think more carefully
413,this is fucking terrible,this is very bad
414,this code is shit,this code has problems
415,you are so stupid,I think you are mistaken
416,this system is stupid,this system has design issues
417,what the hell are you doing,what are you doing
418,this explanation is trash,this explanation needs improvement
419,why are you so useless,you might need more help
420,you're annoying as hell,you are being annoying
421,this system is stupid,this system has design issues
422,this feature is dumb,this feature may need improvement
423,this is fucking terrible,this is very bad
424,you're annoying as hell,you are being annoying
425,you clearly don't understand,you may want to review the topic
426,you're annoying as hell,you are being annoying
427,this feature is dumb,this feature may need improvement
428,this project is bullshit,this project has issues
429,this game is fucking trash,this game is not good
430,you're the worst teammate,we should cooperate better
431,stop being dumb,please think more carefully
432,that was a dumb decision,that may not be the best decision
433,you're wasting everyone's time,please focus on the task
434,this explanation is trash,this explanation needs improvement
435,you're the worst teammate,we should cooperate better
436,this project is bullshit,this project has issues
437,stop being dumb,please think more carefully
438,why are you so useless,you might need more help
439,you're wasting everyone's time,please focus on the task
440,your work is garbage,this work needs improvement
441,what the hell are you doing,what are you doing
442,you clearly don't understand,you may want to review the topic
443,this explanation is trash,this explanation needs improvement
444,stop being dumb,please think more carefully
445,you clearly don't understand,you may want to review the topic
446,what the hell are you doing,what are you doing
447,shut the fuck up,please be quiet
448,you're annoying as hell,you are being annoying
449,you're wasting everyone's time,please focus on the task
450,this project is bullshit,this project has issues
451,this feature is dumb,this feature may need improvement
452,your idea is stupid,I disagree with your idea
453,this feature is dumb,this feature may need improvement
454,what the hell are you doing,what are you doing
455,this is fucking terrible,this is very bad
456,this game is fucking trash,this game is not good
457,why are you so slow,please try to work faster
458,why are you so useless,you might need more help
459,this code is shit,this code has problems
460,you're annoying as hell,you are being annoying
461,this feature is dumb,this feature may need improvement
462,why are you so slow,please try to work faster
463,this code is shit,this code has problems
464,that was a dumb decision,that may not be the best decision
465,this is fucking terrible,this is very bad
466,this project is bullshit,this project has issues
467,this is fucking terrible,this is very bad
468,this explanation is trash,this explanation needs improvement
469,what the hell are you doing,what are you doing
470,you clearly don't understand,you may want to review the topic
471,this project is bullshit,this project has issues
472,this game is fucking trash,this game is not good
473,why are you so useless,you might need more help
474,this code is shit,this code has problems
475,you're annoying as hell,you are being annoying
476,this is fucking terrible,this is very bad
477,this game is fucking trash,this game is not good
478,your idea is stupid,I disagree with your idea
479,this system is stupid,this system has design issues
480,your work is garbage,this work needs improvement
481,what the hell are you doing,what are you doing
482,you're wasting everyone's time,please focus on the task
483,this project is bullshit,this project has issues
484,this game is fucking trash,this game is not good
485,you're the worst teammate,we should cooperate better
486,this code is shit,this code has problems
487,you're wasting everyone's time,please focus on the task
488,you are so stupid,I think you are mistaken
489,stop being dumb,please think more carefully
490,this code is shit,this code has problems
491,you're the worst teammate,we should cooperate better
492,this project is bullshit,this project has issues
493,this feature is dumb,this feature may need improvement
494,you are so stupid,I think you are mistaken
495,shut the fuck up,please be quiet
496,why are you so useless,you might need more help
497,this system is stupid,this system has design issues
498,what the hell are you doing,what are you doing
499,you're annoying as hell,you are being annoying
500,this feature is dumb,this feature may need improvement
501,what the hell are you doing,what are you doing
502,this feature is dumb,this feature may need improvement
503,you're annoying as hell,you are being annoying
504,you're wasting everyone's time,please focus on the task
505,this explanation is trash,this explanation needs improvement
506,this feature is dumb,this feature may need improvement
507,this project is bullshit,this project has issues
508,this is fucking terrible,this is very bad
509,you are so stupid,I think you are mistaken
510,what the hell are you doing,what are you doing
511,you're wasting everyone's time,please focus on the task
512,this game is fucking trash,this game is not good
513,this system is stupid,this system has design issues
514,your idea is stupid,I disagree with your idea
515,why are you so useless,you might need more help
516,stop being dumb,please think more carefully
517,you're wasting everyone's time,please focus on the task
518,that was a dumb decision,that may not be the best decision
519,shut the fuck up,please be quiet
520,your work is garbage,this work needs improvement
521,this project is bullshit,this project has issues
522,you're wasting everyone's time,please focus on the task
523,you're the worst teammate,we should cooperate better
524,shut the fuck up,please be quiet
525,your idea is stupid,I disagree with your idea
526,this game is fucking trash,this game is not good
527,your idea is stupid,I disagree with your idea
528,this is fucking terrible,this is very bad
529,this explanation is trash,this explanation needs improvement
530,this project is bullshit,this project has issues
531,that was a dumb decision,that may not be the best decision
532,what the hell are you doing,what are you doing
533,why are you so useless,you might need more help
534,this game is fucking trash,this game is not good
535,shut the fuck up,please be quiet
536,why are you so useless,you might need more help
537,why are you so useless,you might need more help
538,this game is fucking trash,this game is not good
539,what the hell are you doing,what are you doing
540,this project is bullshit,this project has issues
541,that was a dumb decision,that may not be the best decision
542,this explanation is trash,this explanation needs improvement
543,you're the worst teammate,we should cooperate better
544,you are so stupid,I think you are mistaken
545,you're the worst teammate,we should cooperate better
546,your work is garbage,this work needs improvement
547,this game is fucking trash,this game is not good
548,why are you so useless,you might need more help
549,that was a dumb decision,that may not be the best decision
550,why are you so useless,you might need more help
551,this feature is dumb,this feature may need improvement
552,this game is fucking trash,this game is not good
553,why are you so slow,please try to work faster
554,this system is stupid,this system has design issues
555,this explanation is trash,this explanation needs improvement
556,this project is bullshit,this project has issues
557,this code is shit,this code has problems
558,stop being dumb,please think more carefully
559,this feature is dumb,this feature may need improvement
560,this system is stupid,this system has design issues
561,you're annoying as hell,you are being annoying
562,this code is shit,this code has problems
563,you're wasting everyone's time,please focus on the task
564,why are you so useless,you might need more help
565,this game is fucking trash,this game is not good
566,you're wasting everyone's time,please focus on the task
567,shut the fuck up,please be quiet
568,this system is stupid,this system has design issues
569,that was a dumb decision,that may not be the best decision
570,that was a dumb decision,that may not be the best decision
571,this is fucking terrible,this is very bad
572,stop being dumb,please think more carefully
573,why are you so useless,you might need more help
574,this feature is dumb,this feature may need improvement
575,you're wasting everyone's time,please focus on the task
576,that was a dumb decision,that may not be the best decision
577,this system is stupid,this system has design issues
578,this explanation is trash,this explanation needs improvement
579,stop being dumb,please think more carefully
580,you're the worst teammate,we should cooperate better
581,that was a dumb decision,that may not be the best decision
582,your work is garbage,this work needs improvement
583,what the hell are you doing,what are you doing
584,this explanation is trash,this explanation needs improvement
585,you are so stupid,I think you are mistaken
586,that was a dumb decision,that may not be the best decision
587,your idea is stupid,I disagree with your idea
588,this project is bullshit,this project has issues
589,your idea is stupid,I disagree with your idea
590,your idea is stupid,I disagree with your idea
591,this code is shit,this code has problems
592,why are you so slow,please try to work faster
593,stop being dumb,please think more carefully
594,this code is shit,this code has problems
595,you're the worst teammate,we should cooperate better
596,you're annoying as hell,you are being annoying
597,that was a dumb decision,that may not be the best decision
598,you're the worst teammate,we should cooperate better
599,this is fucking terrible,this is very bad
600,this code is shit,this code has problems
601,you are so stupid,I think you are mistaken
602,this explanation is trash,this explanation needs improvement
603,this game is fucking trash,this game is not good
604,you're wasting everyone's time,please focus on the task
605,you're annoying as hell,you are being annoying
606,this explanation is trash,this explanation needs improvement
607,this explanation is trash,this explanation needs improvement
608,you clearly don't understand,you may want to review the topic
609,what the hell are you doing,what are you doing
610,shut the fuck up,please be quiet
611,this explanation is trash,this explanation needs improvement
612,your work is garbage,this work needs improvement
613,this system is stupid,this system has design issues
614,why are you so slow,please try to work faster
615,you're wasting everyone's time,please focus on the task
616,this project is bullshit,this project has issues
617,your work is garbage,this work needs improvement
618,that was a dumb decision,that may not be the best decision
619,you're annoying as hell,you are being annoying
620,this system is stupid,this system has design issues
621,your idea is stupid,I disagree with your idea
622,you're wasting everyone's time,please focus on the task
623,you're wasting everyone's time,please focus on the task
624,you are so stupid,I think you are mistaken
625,you are so stupid,I think you are mistaken
626,this feature is dumb,this feature may need improvement
627,this explanation is trash,this explanation needs improvement
628,this explanation is trash,this explanation needs improvement
629,you're the worst teammate,we should cooperate better
630,what the hell are you doing,what are you doing
631,you're the worst teammate,we should cooperate better
632,this explanation is trash,this explanation needs improvement
633,this code is shit,this code has problems
634,shut the fuck up,please be quiet
635,this explanation is trash,this explanation needs improvement
636,you're annoying as hell,you are being annoying
637,that was a dumb decision,that may not be the best decision
638,this system is stupid,this system has design issues
639,you are so stupid,I think you are mistaken
640,why are you so useless,you might need more help
641,why are you so slow,please try to work faster
642,what the hell are you doing,what are you doing
643,this project is bullshit,this project has issues
644,this explanation is trash,this explanation needs improvement
645,this feature is dumb,this feature may need improvement
646,that was a dumb decision,that may not be the best decision
647,this is fucking terrible,this is very bad
648,shut the fuck up,please be quiet
649,you clearly don't understand,you may want to review the topic
650,this explanation is trash,this explanation needs improvement
651,you're the worst teammate,we should cooperate better
652,you clearly don't understand,you may want to review the topic
653,this code is shit,this code has problems
654,that was a dumb decision,that may not be the best decision
655,why are you so useless,you might need more help
656,stop being dumb,please think more carefully
657,you are so stupid,I think you are mistaken
658,why are you so slow,please try to work faster
659,this code is shit,this code has problems
660,this system is stupid,this system has design issues
661,your idea is stupid,I disagree with your idea
662,this game is fucking trash,this game is not good
663,this is fucking terrible,this is very bad
664,this is fucking terrible,this is very bad
665,that was a dumb decision,that may not be the best decision
666,you're annoying as hell,you are being annoying
667,stop being dumb,please think more carefully
668,you're wasting everyone's time,please focus on the task
669,this project is bullshit,this project has issues
670,what the hell are you doing,what are you doing
671,your idea is stupid,I disagree with your idea
672,stop being dumb,please think more carefully
673,you're annoying as hell,you are being annoying
674,your idea is stupid,I disagree with your idea
675,you're annoying as hell,you are being annoying
676,what the hell are you doing,what are you doing
677,that was a dumb decision,that may not be the best decision
678,you're the worst teammate,we should cooperate better
679,that was a dumb decision,that may not be the best decision
680,you are so stupid,I think you are mistaken
681,your work is garbage,this work needs improvement
682,you're the worst teammate,we should cooperate better
683,this is fucking terrible,this is very bad
684,why are you so slow,please try to work faster
685,this is fucking terrible,this is very bad
686,stop being dumb,please think more carefully
687,your work is garbage,this work needs improvement
688,you are so stupid,I think you are mistaken
689,you are so stupid,I think you are mistaken
690,shut the fuck up,please be quiet
691,this system is stupid,this system has design issues
692,this feature is dumb,this feature may need improvement
693,this is fucking terrible,this is very bad
694,why are you so slow,please try to work faster
695,what the hell are you doing,what are you doing
696,why are you so slow,please try to work faster
697,this game is fucking trash,this game is not good
698,this is fucking terrible,this is very bad
699,you're the worst teammate,we should cooperate better
700,this game is fucking trash,this game is not good
701,this game is fucking trash,this game is not good
702,stop being dumb,please think more carefully
703,this feature is dumb,this feature may need improvement
704,you're wasting everyone's time,please focus on the task
705,that was a dumb decision,that may not be the best decision
706,what the hell are you doing,what are you doing
707,this explanation is trash,this explanation needs improvement
708,shut the fuck up,please be quiet
709,this is fucking terrible,this is very bad
710,shut the fuck up,please be quiet
711,this game is fucking trash,this game is not good
712,shut the fuck up,please be quiet
713,this feature is dumb,this feature may need improvement
714,why are you so useless,you might need more help
715,why are you so slow,please try to work faster
716,this code is shit,this code has problems
717,your idea is stupid,I disagree with your idea
718,your idea is stupid,I disagree with your idea
719,your work is garbage,this work needs improvement
720,this game is fucking trash,this game is not good
721,you are so stupid,I think you are mistaken
722,you're the worst teammate,we should cooperate better
723,stop being dumb,please think more carefully
724,this project is bullshit,this project has issues
725,this code is shit,this code has problems
726,why are you so useless,you might need more help
727,you're the worst teammate,we should cooperate better
728,this system is stupid,this system has design issues
729,why are you so slow,please try to work faster
730,why are you so useless,you might need more help
731,this feature is dumb,this feature may need improvement
732,why are you so useless,you might need more help
733,why are you so useless,you might need more help
734,you're wasting everyone's time,please focus on the task
735,why are you so slow,please try to work faster
736,stop being dumb,please think more carefully
737,this code is shit,this code has problems
738,your idea is stupid,I disagree with your idea
739,this code is shit,this code has problems
740,you're annoying as hell,you are being annoying
741,this game is fucking trash,this game is not good
742,shut the fuck up,please be quiet
743,your work is garbage,this work needs improvement
744,that was a dumb decision,that may not be the best decision
745,this system is stupid,this system has design issues
746,you're annoying as hell,you are being annoying
747,this is fucking terrible,this is very bad
748,shut the fuck up,please be quiet
749,this game is fucking trash,this game is not good
750,stop being dumb,please think more carefully
751,why are you so slow,please try to work faster
752,you are so stupid,I think you are mistaken
753,why are you so slow,please try to work faster
754,this system is stupid,this system has design issues
755,this system is stupid,this system has design issues
756,stop being dumb,please think more carefully
757,this system is stupid,this system has design issues
758,you're the worst teammate,we should cooperate better
759,this feature is dumb,this feature may need improvement
760,your work is garbage,this work needs improvement
761,this explanation is trash,this explanation needs improvement
762,this is fucking terrible,this is very bad
763,your work is garbage,this work needs improvement
764,you're wasting everyone's time,please focus on the task
765,your idea is stupid,I disagree with your idea
766,this is fucking terrible,this is very bad
767,why are you so slow,please try to work faster
768,this project is bullshit,this project has issues
769,that was a dumb decision,that may not be the best decision
770,this code is shit,this code has problems
771,this feature is dumb,this feature may need improvement
772,you are so stupid,I think you are mistaken
773,this explanation is trash,this explanation needs improvement
774,this explanation is trash,this explanation needs improvement
775,you're wasting everyone's time,please focus on the task
776,you clearly don't understand,you may want to review the topic
777,shut the fuck up,please be quiet
778,your idea is stupid,I disagree with your idea
779,this game is fucking trash,this game is not good
780,why are you so useless,you might need more help
781,what the hell are you doing,what are you doing
782,what the hell are you doing,what are you doing
783,why are you so useless,you might need more help
784,this is fucking terrible,this is very bad
785,your idea is stupid,I disagree with your idea
786,stop being dumb,please think more carefully
787,this is fucking terrible,this is very bad
788,you're wasting everyone's time,please focus on the task
789,what the hell are you doing,what are you doing
790,you are so stupid,I think you are mistaken
791,you are so stupid,I think you are mistaken
792,this is fucking terrible,this is very bad
793,this game is fucking trash,this game is not good
794,this system is stupid,this system has design issues
795,this explanation is trash,this explanation needs improvement
796,this project is bullshit,this project has issues
797,you're annoying as hell,you are being annoying
798,stop being dumb,please think more carefully
799,you're the worst teammate,we should cooperate better
800,why are you so slow,please try to work faster
